Species	Type
AKT	protein
Dest_compl	protein
AXIN2	protein
bcatenin_memb	protein
bcatenin_nuc	protein
bTrCP	protein
CD44	protein
CDC42	protein
cfos	protein
cMet	protein
Csl	protein
Csn	protein
DELTA	protein
DSH	protein
Ecadherin	protein
EGFR	protein
EGR1	protein
EMT	protein
ERK	protein
FGFR	protein
FOXC2	protein
Frizzled	protein
FUS	protein
GLI	protein
GSK3b	protein
HEY1	protein
HIF1a	protein
IGF1R	protein
IKKa	protein
ILK	protein
Jagged	protein
LIV1	protein
LOXL23	protein
MEK	protein
miR200	protein
NFkB	protein
NOTCH	protein
NOTCH_ic	protein
PAK1	protein
Patched	protein
PDGFR	protein
PI3K	protein
RAF	protein
RAS	protein
RKIP	protein
SHH	protein
SNAI2	protein
SMAD	protein
SMO	protein
SNAI1	protein
SOS_GRB2	protein
SRC	protein
STAT	protein
SUFU	protein
TCF_LEF	protein
TGFb	protein
TGFbR	protein
TWIST1	protein
Wnt	protein
ZEB1	protein
ZEB2	protein
	
