,PC1,PC2,tsne1,tsne2,time
E0_753,3.689967264284339,0.32631579465848953,65.62781,-32.354134,0.9424280350438048
E1_646,-1.562194969022276,-0.1902043317654944,-25.252342,6.5767283,0.8085106382978723
E2_734,-1.2752717191510383,-0.17318344440115271,-32.37441,-24.016994,0.918648310387985
E3_762,-1.287867527444003,-0.33903635401284704,-12.857536,-8.204243,0.9536921151439299
E4_431,-1.976738358935429,-0.4499046288794044,-57.497196,12.52145,0.5394242803504381
E5_120,0.9600681456923348,-1.5974803222641436,26.46952,-32.55642,0.15018773466833543
E6_82,-1.571669459050864,0.3848485360582555,-14.235128,-38.155266,0.10262828535669587
E7_471,-1.587283762847601,0.17598650698184456,-6.202635,29.261633,0.5894868585732165
E8_400,4.006141780931994,0.2938598112522172,49.001076,50.332138,0.5006257822277848
E9_97,-1.9056769004939123,0.27382430718078055,-17.906733,-45.18079,0.1214017521902378
E10_537,-0.07378098512408149,3.5458883947394266,-13.920285,-74.21932,0.672090112640801
E11_58,-0.7788956717465365,0.7660611525752716,-3.776062,-45.143158,0.07259073842302878
E12_334,-1.603679699902115,-0.4997317472605776,-56.044685,-16.138325,0.41802252816020025
E13_415,-1.5792413175983873,-0.10078176368134092,-26.72711,11.561174,0.5193992490613266
E14_241,3.7115879862872685,-0.9235572194773827,38.413136,10.730022,0.3016270337922403
E15_97,-1.5686626333016902,0.3156690185845099,-15.035402,-32.159164,0.1214017521902378
E16_192,-1.6535812343090006,0.028464836482658292,-15.57372,46.079662,0.24030037546933666
E17_308,-1.6276315315746097,-0.1336323315194072,-27.552755,13.54965,0.3854818523153942
E18_233,3.546611757166529,-1.777247281057506,41.542637,-4.2730594,0.29161451814768463
E19_710,-1.557386828193457,-0.48009396117705266,-43.279846,-27.44534,0.8886107634543179
E20_573,3.873439905215233,0.30852796077738776,44.024105,26.323318,0.7171464330413017
E21_49,-1.1158791511271426,0.4160604322553425,-0.51716983,-46.43042,0.06132665832290363
E22_679,-1.7193311057679141,-0.48840261519341827,-58.579895,-11.682486,0.8498122653316645
E23_134,-1.7384324669278481,-0.21937368574261282,-29.001612,26.827917,0.1677096370463079
E24_346,-1.6109815934585037,-0.028607078578124105,-20.667276,44.10796,0.4330413016270338
E25_310,-1.93646068475482,-0.40194035091541924,-57.446274,11.927822,0.3879849812265332
E26_81,-1.8531459546627789,-0.6799980344563468,-61.32436,-2.6725569,0.10137672090112641
E27_606,-1.4686209326094213,0.07162752646026914,5.5346923,34.44813,0.7584480600750939
E28_247,-1.4461061218912168,0.35106273549022543,0.7046299,50.33461,0.3091364205256571
E29_482,4.11653074214933,0.14650174330935808,57.40416,-31.761066,0.6032540675844806
E30_213,2.814831343731817,-0.9666316830433859,49.215633,-2.965134,0.2665832290362954
E31_779,3.9922209506221016,0.2831198251155305,54.010166,44.089756,0.9749687108886108
E32_320,-1.2174084177418816,-0.22705842458466122,-13.009141,-11.463157,0.4005006257822278
E33_464,-1.7762619916317774,-0.44602622031135775,-57.61455,7.077272,0.5807259073842302
E34_147,-1.4262605049193608,-0.22055244329145307,-17.065044,8.612824,0.18397997496871088
E35_749,4.038449954144452,0.18609072497121212,82.25406,-26.349083,0.9374217772215269
E36_753,3.6538394308827664,0.38962531449351295,72.80237,-12.879375,0.9424280350438048
E37_591,-1.6937711462659488,-0.5881947034904983,-55.91292,-18.7914,0.7396745932415519
E38_483,-1.569115990318505,0.02958163885065986,7.2607093,41.30412,0.60450563204005
E39_279,-1.5380963969778494,0.21022431768047173,0.49899408,48.786427,0.34918648310387984
E40_467,-1.6765737321777923,-0.03632464683268602,-7.4977703,40.93298,0.5844806007509387
E41_250,-1.6065176333474755,-0.17884054181584536,-28.661207,10.30622,0.31289111389236546
E42_158,2.4368467866179637,-2.781109337602199,32.950047,-16.602879,0.19774718397997496
E43_656,4.050320479675465,0.21821076961602687,78.10207,-21.152227,0.8210262828535669
E44_267,-1.1852615766229455,-0.013418185248029454,0.9380662,-8.016119,0.3341677096370463
E45_31,-0.5615857944599153,0.0033096445142997387,2.1706831,-48.7248,0.03879849812265332
E46_191,2.736361236602566,-2.3179411183164933,34.24494,-15.484103,0.2390488110137672
E47_405,-1.2720334748544697,0.09007287575779807,-1.4669051,16.198822,0.5068836045056321
E48_475,4.079641370106443,0.1388722765141704,56.58265,48.619667,0.5944931163954944
E49_458,3.4506052639105453,0.5541214928415605,58.257004,30.199926,0.5732165206508135
E50_444,-1.4483896316008598,0.16961729911549317,8.123191,44.769455,0.5556946182728411
E51_413,3.779525601873143,0.3291680472309269,63.381252,-19.615938,0.5168961201501877
E52_459,-1.3939060639464378,0.08884914552992773,0.59055513,13.056857,0.574468085106383
E53_154,-1.5874048275998451,-0.042927533980170275,-12.750311,16.439667,0.1927409261576971
E54_439,3.7381294911548517,0.3852723668823738,47.82363,35.770252,0.5494367959949937
E55_464,-1.6212835662693144,-0.12020299948719004,-23.119282,18.591618,0.5807259073842302
E56_498,-1.8265708382379817,-0.3502839249321634,-56.861385,27.430176,0.623279098873592
E57_516,-1.682365112671752,-0.02427484933662601,-13.096741,27.378654,0.6458072590738423
E58_569,3.7941667679380826,0.2599895310288444,61.957783,-33.090668,0.7121401752190237
E59_66,-0.8992952333373632,0.1191023588338786,1.3690071,-48.478367,0.08260325406758448
E60_127,-1.3424211344900505,0.16934962874175447,7.7169666,18.812723,0.15894868585732166
E61_313,-1.6687238721415358,-0.48023009352511575,-51.889256,-3.8566217,0.39173967459324155
E62_27,-0.6020159015344402,0.3577890574551808,3.5971725,-49.50207,0.03379224030037547
E63_56,0.6404094249466497,-0.6711779107042856,25.787802,-39.134487,0.07008760951188986
E64_164,-1.5359963148095752,0.06542821721267697,1.9860452,36.78341,0.20525657071339173
E65_70,-1.324970060918069,0.34670470451623614,-8.0388155,-40.480553,0.08760951188986232
E66_414,-1.3414935393201903,0.1852712916343631,12.601687,10.671809,0.5181476846057572
E67_207,-1.599481860834916,-0.38369309850184324,-54.033463,-13.215425,0.2590738423028786
E68_214,2.48348326345537,-2.0566234293067094,33.700096,-14.102823,0.26783479349186484
E69_466,-1.92136012916977,-0.6762781031907255,-68.30073,15.413243,0.5832290362953693
E70_658,-1.412195308719971,0.03195555000333123,-2.9837239,9.635658,0.8235294117647058
E71_778,-1.6255640956343589,-0.05089235379144786,-10.795247,25.810846,0.9737171464330413
E72_727,-2.296070168187487,-0.5085421694002998,-41.051403,37.993053,0.9098873591989988
E73_574,-1.5431914274556218,-0.3937484788972434,-43.856907,-24.356222,0.718397997496871
E74_258,3.873639913382069,-0.5977358162528242,38.31061,11.637487,0.32290362953692114
E75_465,4.021104906436223,0.22269631912640692,41.277626,40.674706,0.5819774718397998
E76_726,-1.7411778158442626,-0.001321466759132394,-16.43724,47.224525,0.9086357947434293
E77_198,3.3631441296938944,-1.2856597855107608,40.386986,1.3354042,0.24780976220275344
E78_735,-1.6281107957469847,-0.08761332161805492,-5.709633,35.97907,0.9198998748435544
