,PC1,PC2,tsne1,tsne2,time
E0_365,1.4286252263150891,-0.07995024418225014,-32.1756,-18.099321,0.4568210262828536
E1_70,1.2840898195464752,0.06406556155691855,40.4967,-35.354774,0.08760951188986232
E2_725,-1.7518252216458683,1.6424051847702161,5.867741,58.545956,0.9073842302878599
E3_674,-1.9131630880579218,1.5166646267532684,2.4330473,54.18782,0.8435544430538173
E4_340,0.7806243527398524,0.3253678721710005,-0.16841437,-7.787494,0.425531914893617
E5_518,-1.296661927303304,0.8123914428298601,2.4687257,40.31258,0.6483103879849812
E6_164,1.5719892031708287,0.2260330020473028,14.905107,-56.52044,0.20525657071339173
E7_127,1.1016703961442549,-0.1670292732821598,18.70467,-42.010624,0.15894868585732166
E8_532,-1.7592641661083945,1.7205054885618498,11.34387,60.456917,0.6658322903629537
E9_362,0.9737301249554442,-0.1479615394909627,6.146861,-10.380465,0.4530663329161452
E10_571,-1.558933847558332,1.2616950838938281,-4.3704066,42.346134,0.7146433041301627
E11_662,-0.9359786489972983,-0.31934383423872414,47.161987,13.281145,0.8285356695869838
E12_747,-0.8333766052208669,0.06365528638075714,52.79424,32.0063,0.934918648310388
E13_786,-1.8445692018797923,1.5274304208149847,5.803262,49.964664,0.983729662077597
E14_43,0.36762157881504487,-0.040426545864827,42.277428,-14.132373,0.05381727158948686
E15_43,0.7762892629299011,0.014945457079106439,47.411156,-22.080276,0.05381727158948686
E16_421,-1.356272583133382,-1.948875875095669,-52.882256,18.072233,0.5269086357947435
E17_444,-0.7545250028458826,-0.7487477174747453,-36.633656,10.496918,0.5556946182728411
E18_382,0.45340033581056693,0.18437184014779354,13.560941,-4.162882,0.4780976220275344
E19_160,1.4694565037928107,-0.1379700457763154,29.782955,-43.185406,0.2002503128911139
E20_347,1.133751197639494,-0.4856020933398254,-18.33222,-3.8172655,0.43429286608260326
E21_561,-0.20813626825605086,1.5115043372186898,-7.3967834,17.800339,0.7021276595744681
E22_510,-0.8797638413733414,-1.8382108476279622,-43.55668,8.085306,0.6382978723404256
E23_460,-1.4090638659037686,1.581084457154817,-6.138573,41.389324,0.5757196495619524
E24_588,-1.7342711920495546,1.4615847096142585,11.219555,48.797447,0.7359198998748435
E25_43,1.02194444700112,0.11701799834541375,44.686283,-46.058163,0.05381727158948686
E26_315,1.1963261572791388,0.3462343147721003,-35.4945,-25.535927,0.39424280350438046
E27_548,-1.7702770909519243,1.1911835686751313,3.176679,47.38736,0.685857321652065
E28_74,0.9438116212690492,-0.02870376577136223,40.68366,-28.200573,0.09261576971214018
E29_302,0.29887140356196323,0.10135248434579987,-1.2086874,1.1975901,0.37797246558197745
E30_524,-1.0293325196139473,-0.2560508838363281,34.667576,27.457209,0.655819774718398
E31_114,1.2722290860541827,0.15596053988366432,50.40815,-34.724712,0.14267834793491865
E32_240,1.2244828878549945,-0.3595033502550563,-34.48229,-19.469316,0.30037546933667086
E33_267,1.8729071380586861,0.7098401976971472,-30.536726,-30.381582,0.3341677096370463
E34_94,1.6543396268351307,-0.12154106836827094,-3.530859,-57.84876,0.11764705882352941
E35_776,-1.7209502180712448,1.3989065352541346,13.396771,45.79027,0.9712140175219024
E36_454,-1.881011297999111,1.7154594075611316,-3.3057199,63.258068,0.5682102628285357
E37_431,-0.6340323234394664,-1.6460345547514093,-40.348953,4.4459753,0.5394242803504381
E38_575,-0.8604216979449548,0.03883400999238462,54.20417,20.99145,0.7196495619524406
E39_624,-1.9356998706971573,1.6714207613568552,3.818853,59.911392,0.7809762202753442
E40_408,-1.5124290550154775,1.5764865245131299,-5.915447,42.03695,0.5106382978723404
E41_101,0.9546548826969461,-0.06962920384188125,38.299664,-26.404367,0.12640801001251564
E42_122,1.6601321189516203,0.007319236732590556,-10.89506,-58.231415,0.15269086357947434
E43_404,-0.2429572001465984,-1.239894482589753,-36.54131,13.738393,0.5056320400500626
E44_721,-1.8781711975595674,2.41462328327452,8.491748,68.93875,0.9023779724655819
E45_700,-1.4782750650074599,-1.831555944266325,-62.125767,26.891527,0.8760951188986232
E46_412,-0.2864916678429128,-0.6203078902502586,12.479172,6.6715264,0.5156445556946183
E47_499,-1.5066951133330628,-1.8407248388038555,-57.59687,35.477802,0.6245306633291614
E48_347,1.0614294526211558,0.1631828055849802,-19.746946,-19.02065,0.43429286608260326
E49_281,1.2114647867535682,-0.13666591465481936,-22.046957,-18.891455,0.35168961201501875
E50_614,-1.9860146828472323,1.652172838752887,-4.0274057,61.394524,0.7684605757196495
E51_503,-0.9530671491744245,-0.16269131434340342,40.136074,31.909782,0.6295369211514393
E52_569,-1.365376770661284,-1.864568027258238,-51.85095,19.593327,0.7121401752190237
